,magnitude,people
359,-59.5,5
360,-58.5,5
361,-41.0,5
362,-74.5,5
363,-59.0,5
364,-23.0,5
365,-78.5,5
366,-2.0,5
367,-59.5,5
368,-69.0,5
369,-49.5,5
370,27.5,5
371,-23.0,5
372,-79.5,5
373,-29.5,5
374,-48.5,5
375,-35.5,5
376,-42.0,5
377,-26.5,5
378,-5.0,5
379,-10.5,5
380,-4.5,5
381,-49.0,5
382,-75.0,6
383,-22.0,5
384,-48.5,5
385,-7.5,5
386,-22.5,6
387,-107.5,5
388,-36.5,6
389,-62.0,5
390,-50.0,5
391,-37.5,5
392,-18.5,5
393,-52.0,5
394,-37.0,6
395,-56.0,5
396,-52.0,5
397,-60.0,5
398,-49.5,5
399,-14.5,5
400,78.0,5
401,-37.0,6
402,-28.0,5
403,-3.5,5
404,6.0,5
405,-73.0,5
406,-51.0,5
407,-136.0,5
408,29.0,6
409,-13.5,6
410,16.5,7
411,-49.5,5
412,-27.0,5
413,-53.0,5
414,-1.0,5
415,-11.5,5
416,-30.0,5
417,4.0,5
418,-57.0,6
419,-53.0,5
420,-72.0,5
421,-109.5,5
422,-15.5,5
423,-61.5,5
424,-44.5,7
425,-66.5,6
426,-72.0,6
427,-79.5,7
428,-17.5,6
429,-26.0,6
430,-7.0,7
431,-66.5,5
432,-15.5,5
433,-53.0,5
434,-25.5,6
435,-38.0,5
436,-10.0,5
437,-12.5,5
438,3.0,5
439,-56.5,6
440,-64.0,5
441,-29.5,5
442,-75.0,5
443,-11.5,5
444,-38.0,5
445,-92.5,5
446,-62.5,5
447,-80.5,5
448,-56.5,5
449,-24.5,5
450,-10.5,5
451,-60.0,5
452,-52.5,5
453,-35.0,5
454,-50.0,5
455,-55.0,5
456,-67.0,5
457,-79.0,6
458,-95.5,6
459,-65.5,6
460,-48.5,6
461,-35.0,6
462,-17.0,5
463,-63.5,6
464,-40.0,6
465,-26.0,7
466,-32.5,6
467,-19.0,5
468,-103.0,7
469,-5.0,7
470,-37.5,6
471,-24.5,5
472,-63.0,5
473,-46.5,5
474,-89.0,6
475,-24.0,6
476,-90.5,8
477,-42.0,7
478,-22.0,6
479,-51.0,6
480,-77.5,5
481,-11.5,5
482,-34.5,5
483,-30.0,5
484,-36.5,6
485,-27.5,5
486,-45.5,5
487,20.0,6
488,-61.0,5
489,-52.0,6
490,-110.0,5
491,-59.0,5
492,-51.0,5
493,1.0,6
494,-37.5,5
495,-6.0,5
496,-7.0,5
497,-113.0,5
498,-10.0,6
499,-48.5,5
500,-22.5,6
501,-67.5,5
502,-67.5,5
503,-18.0,5
504,-47.5,5
505,-34.0,5
506,-30.0,4
507,-37.5,5
508,-52.5,5
509,-41.5,5
510,20.0,5
511,-26.0,5
512,-67.5,5
513,-117.5,5
514,-49.5,5
515,-52.0,5
516,-76.0,6
517,-73.5,5
518,-37.0,6
519,-84.0,5
520,-52.0,5
521,-63.0,5
522,-38.0,5
523,-27.5,5
524,-22.5,7
525,-10.0,7
526,-47.5,6
527,-51.0,6
528,-2.5,7
529,-41.0,5
530,-5.5,6
531,-64.5,6
532,-119.0,7
533,-47.5,7
534,-14.5,6
535,-37.0,9
536,-48.0,7
537,-31.0,6
538,-26.5,7
539,-78.0,9
540,-53.5,7
541,-33.5,7
542,-13.0,6
543,8.5,5
544,-134.5,5
545,-93.0,7
546,-49.0,5
547,-14.0,6
548,-55.0,6
549,15.0,5
550,-23.0,5
551,-58.0,6
552,1.0,7
553,11.0,7
554,-57.0,6
555,-119.5,6
556,-65.0,6
557,-20.0,5
558,-16.5,6
559,-87.5,5
560,-105.5,5
561,-100.5,5
562,-67.0,5
563,-60.5,5
564,-93.5,5
565,-10.0,5
566,-43.0,6
567,-39.0,6
568,10.0,4
569,-52.0,4
570,-99.5,6
571,-52.5,6
572,-85.0,6
573,-55.5,6
574,-84.5,5
575,-28.5,6
576,-56.5,5
577,-38.0,7
578,-53.0,8
579,-40.5,5
580,-93.0,5
581,-108.0,5
582,-69.5,5
583,-64.0,5
584,-68.5,5
585,-29.5,7
586,-2.0,4
587,-66.5,4
588,-50.0,4
589,12.0,4
590,-26.0,4
591,25.0,5
592,-84.5,5
593,-65.5,5
594,-37.0,3
595,-78.0,7
596,-62.5,7
597,-39.5,6
598,-36.0,5
599,-80.5,5
600,-10.5,6
601,-35.5,8
602,-90.5,5
603,-44.0,5
604,-5.5,5
605,-26.0,5
606,-56.0,6
607,5.0,5
608,-85.5,5
609,-32.0,5
610,10.0,8
611,-10.0,5
612,-24.5,6
613,-66.5,6
614,-55.5,6
615,-57.5,5
616,-8.5,6
617,6.5,8
618,-40.5,5
619,-49.0,5
620,-45.5,6
621,-23.0,6
622,-46.0,6
623,-29.5,6
624,-83.5,6
625,-56.5,7
626,-54.5,7
627,-20.0,6
628,-31.0,10
629,-22.5,6
630,-10.5,5
631,-27.0,6
632,-39.5,5
633,36.5,5
634,-88.0,4
635,-102.5,4
636,-74.5,5
637,-52.5,4
638,-41.0,5
639,-49.0,5
640,-31.0,6
641,-74.0,7
642,-101.5,7
643,-33.5,5
644,-70.5,6
645,-25.5,6
646,-104.5,6
647,-22.5,6
648,-56.5,6
649,-89.5,4
650,-102.5,6
651,-43.5,5
652,-72.0,5
653,-33.5,5
654,-54.5,6
655,-19.5,5
656,22.5,6
657,4.0,6
658,-41.5,8
659,-20.5,5
660,-17.0,5
661,-19.0,5
