,magnitude,people
0,-37.0,5
1,-99.0,5
2,3.5,5
3,-72.0,5
4,-76.0,5
5,-43.5,5
6,-60.0,4
7,30.0,5
8,-29.5,3
9,-40.5,5
10,-5.5,2
11,-76.5,4
12,-14.5,4
13,-5.0,4
14,-52.5,5
15,-49.5,4
16,-67.5,3
17,-35.0,4
18,-86.0,4
19,-22.5,5
20,36.5,5
21,-61.0,5
22,-54.5,5
23,-3.5,5
24,-72.0,5
25,-36.0,5
26,-38.5,5
27,-103.0,5
28,7.5,4
29,-48.0,5
30,-70.5,5
31,-34.5,5
32,-53.0,4
33,-31.0,4
34,-31.5,3
35,-57.0,5
36,-38.0,5
37,-75.5,5
38,-76.5,5
39,-32.0,5
40,-6.0,5
41,-83.5,5
42,-33.5,5
43,-50.0,5
44,-3.0,5
45,-60.5,5
46,-62.0,4
47,-100.0,5
48,-100.0,5
49,-24.5,5
50,-71.5,4
51,-45.5,5
52,-11.0,5
53,-46.0,5
54,-32.0,5
55,-46.0,5
56,-36.0,4
57,-62.0,5
58,-69.5,5
59,-50.0,5
60,-33.0,5
61,-37.0,5
62,-55.0,5
63,-2.5,5
64,-31.5,5
65,-118.0,5
66,-55.5,5
67,-45.0,5
68,-93.5,5
69,-65.0,5
70,-59.5,5
71,-53.0,5
72,-0.5,7
73,-40.5,6
74,-57.5,5
75,-43.5,5
76,-81.5,5
77,-55.5,5
78,-64.0,5
79,-34.5,5
80,-48.5,5
81,-48.0,5
82,-12.5,5
83,-64.0,5
84,-47.0,5
85,-83.0,5
86,-43.5,4
87,-33.5,4
88,-31.5,5
89,-70.5,5
90,-115.5,5
91,-54.5,6
92,-71.5,5
93,-62.0,4
94,-20.0,4
95,-32.0,4
96,-28.5,3
97,-49.5,4
98,-85.5,4
99,-87.5,5
100,-85.5,5
101,-50.0,6
102,-60.5,4
103,3.0,5
104,-45.0,5
105,29.0,5
106,-47.5,6
107,-48.5,5
108,-32.5,5
109,-59.5,3
110,-56.0,3
111,-113.5,4
112,-53.5,4
113,-91.0,4
114,29.0,5
115,-37.0,5
116,-97.5,5
117,-58.5,5
118,-48.5,5
119,12.0,5
120,-120.5,5
121,-29.0,5
122,-77.5,5
123,-58.0,5
124,-34.0,5
125,-8.0,6
126,-29.5,6
127,-48.5,7
128,-14.5,5
129,-19.0,5
130,-9.0,5
131,0.5,4
132,-73.0,5
133,-16.5,5
134,-3.5,5
135,-20.0,5
136,-27.0,5
137,-37.0,3
138,5.0,3
139,-125.0,4
140,-65.0,3
141,-82.5,3
142,-86.5,3
143,-39.5,5
144,-16.0,4
145,-38.5,5
146,-46.5,4
147,-47.0,4
148,-17.0,4
149,-38.0,5
150,-17.5,4
151,-22.5,4
152,-53.5,4
153,-84.5,4
154,-14.0,4
155,-33.0,4
156,-41.0,4
157,-80.0,4
158,-50.0,5
159,-70.0,5
160,-14.0,5
161,-15.5,5
162,-83.0,5
163,-53.5,5
164,-13.0,5
165,-44.0,5
166,-105.5,5
167,-31.5,5
168,-37.5,5
169,-77.0,5
170,7.5,7
171,-13.0,6
172,-76.0,6
173,-35.5,5
174,-84.5,5
175,-44.5,5
176,-38.0,6
177,-104.5,6
178,-38.0,6
179,-61.5,5
180,-40.0,5
181,-25.5,4
182,-40.5,5
183,20.0,5
184,-24.5,7
185,-60.0,5
186,78.0,5
187,-106.0,7
188,-46.0,5
189,-78.0,4
190,-74.5,6
191,-49.5,5
192,-83.0,6
193,-21.0,5
194,-84.5,5
195,-41.5,6
196,-83.0,6
197,-46.5,7
198,-45.5,7
199,-30.0,6
200,-14.0,5
201,-28.5,4
202,-16.0,4
203,-11.0,4
204,-36.0,4
205,-19.0,5
206,-76.5,8
207,-18.5,4
208,-78.0,4
209,3.5,4
210,-114.5,5
211,-40.0,5
212,-61.5,7
213,-72.5,5
214,-88.0,6
215,-49.0,5
216,-99.0,7
217,-12.5,9
218,-40.0,5
219,-65.5,5
220,-5.5,6
221,-15.0,5
222,-22.5,5
223,-36.0,7
224,-135.5,6
225,-58.0,5
226,-10.0,6
227,-81.5,7
228,-59.0,7
229,-31.0,8
230,-11.5,4
231,-50.5,5
232,-84.5,5
233,-24.5,7
234,-27.5,6
235,-5.5,6
236,-48.0,6
237,-39.0,8
238,-7.0,7
239,-30.5,7
240,-77.5,6
241,-67.0,6
242,-41.0,5
243,-53.5,5
244,-54.0,5
245,-51.5,5
246,-47.5,5
247,-10.5,7
248,-93.0,5
249,-29.5,5
250,-55.5,4
251,-69.5,5
252,-64.5,5
253,19.5,5
254,-19.0,5
255,-43.0,7
256,-32.0,5
257,-58.5,6
258,-60.0,7
259,12.0,8
260,-72.5,5
261,-30.0,6
262,-47.0,4
263,-64.5,5
264,-74.0,4
265,-55.0,4
266,16.0,5
267,-44.0,6
268,-50.5,5
269,-27.5,4
270,1.5,5
271,23.5,8
272,-62.0,6
273,-36.5,7
274,-72.0,5
275,-61.5,5
276,17.5,5
277,-89.5,5
278,13.0,5
279,-20.5,4
280,-39.0,5
281,-17.5,5
282,-80.0,5
283,-72.0,6
284,-48.5,4
285,9.0,3
286,-121.5,5
287,-6.0,5
288,-26.0,4
289,14.0,4
290,-32.5,5
291,-76.0,5
292,-33.5,5
293,-113.0,4
294,-59.5,6
295,-68.0,6
296,-103.0,6
297,-65.0,7
298,-97.0,6
299,-82.0,5
300,-45.0,6
301,-22.0,6
302,-97.0,5
303,-53.0,5
304,-41.5,5
305,-97.0,5
306,-34.5,5
307,-14.5,4
308,-70.5,4
309,6.0,3
310,-35.5,5
311,-37.5,4
312,-50.5,2
313,-39.0,4
314,-93.0,5
315,-35.5,4
316,-71.0,5
317,-37.5,5
318,14.0,5
319,-54.0,5
320,-48.0,4
321,-36.5,4
322,-49.5,4
323,-43.5,4
324,-15.0,4
325,-35.5,4
326,6.5,4
327,-51.0,4
328,-35.0,4
329,-70.5,4
330,-7.5,5
331,-26.5,5
332,-27.5,5
333,4.5,4
334,-89.5,4
335,-67.5,4
336,31.5,4
337,-7.0,4
338,-117.5,3
339,-85.0,5
340,-59.0,4
341,-9.0,3
342,-15.0,5
343,-35.0,4
344,-65.0,4
345,-31.5,4
346,-78.0,4
347,-1.0,4
348,16.5,4
349,17.5,4
350,-90.5,4
351,-12.5,4
352,-7.5,4
353,-45.5,3
354,-98.0,4
355,-16.5,4
356,25.0,4
357,-69.0,4
358,-43.5,4
359,-52.5,4
360,-64.0,5
361,-98.5,5
362,-98.5,5
363,-82.5,5
364,4.5,4
365,-44.0,4
366,-20.5,4
367,-57.0,5
368,35.5,5
369,-31.5,5
370,-30.5,5
371,-119.5,5
372,-17.5,5
373,-64.0,5
374,-17.0,5
375,-30.0,5
376,-75.0,5
377,-24.5,5
378,-43.5,5
379,-19.0,5
380,-13.0,5
381,67.5,5
382,-100.0,5
383,-69.0,4
384,-23.5,3
385,-27.5,5
386,2.5,3
387,-24.0,3
388,-46.0,4
389,-79.5,5
390,-56.0,4
391,-1.0,4
392,-97.5,4
393,3.5,5
394,-50.5,4
395,-78.0,3
396,-27.5,3
397,-10.5,5
398,-72.5,5
399,-56.5,4
400,-14.0,5
401,-86.0,5
402,-88.5,3
403,-18.0,5
404,-30.5,4
405,-64.5,4
406,0.0,4
407,-70.5,4
408,-68.5,4
409,7.0,5
410,-21.5,3
411,-31.0,3
412,-69.5,4
413,-21.5,4
414,-60.0,5
415,-88.5,5
416,8.5,5
417,-8.0,5
418,-66.0,5
419,-33.5,5
420,-59.0,5
421,-48.0,5
422,33.5,4
423,-66.5,3
424,-28.0,5
425,-35.0,5
426,-32.5,5
427,-59.5,5
428,-23.5,5
429,-82.0,5
430,-69.5,5
431,-60.5,5
432,-77.0,5
433,35.0,5
434,-6.0,4
435,-105.0,4
436,-4.5,4
437,-20.5,4
438,-23.5,5
439,-51.5,5
440,-60.0,5
441,-29.0,5
442,-130.0,5
443,-36.0,5
444,-1.0,5
445,-84.0,4
446,-17.0,4
447,-102.5,5
448,-53.5,4
449,-18.5,5
450,-62.0,5
451,-23.0,5
452,-60.5,5
453,-60.5,5
454,-70.0,5
455,-37.0,5
456,3.5,5
457,-38.5,5
458,-59.5,5
459,-65.5,5
460,6.0,5
461,-26.5,5
462,-40.0,5
463,4.0,5
464,-8.5,5
465,-43.0,5
466,-81.0,6
467,14.0,5
468,-59.5,5
469,-39.5,5
470,6.0,5
471,-93.0,5
472,-56.0,5
473,-49.0,5
474,-71.5,5
475,-38.5,5
476,-55.0,5
477,2.5,5
478,4.5,5
479,-76.5,5
480,-13.0,5
481,-42.0,5
482,-96.5,5
483,-101.0,5
484,-106.0,5
485,-88.0,5
486,-70.0,5
487,25.0,5
488,5.0,5
489,10.5,5
490,-13.5,5
491,-9.0,5
492,-108.0,5
493,-31.5,5
494,8.5,5
495,2.5,5
496,-66.0,5
497,-53.5,5
498,-99.0,5
499,-14.5,5
500,-86.5,5
501,-41.0,5
502,-93.5,5
503,-81.0,5
504,-8.5,5
505,-17.5,4
506,-64.0,5
507,-70.0,5
508,-36.5,5
509,-23.0,5
510,-12.0,5
511,-57.0,5
512,-57.0,5
513,-94.0,5
514,-60.5,5
515,-85.5,5
516,-57.5,5
517,-8.0,5
518,-67.5,5
519,-61.0,5
520,-6.0,5
521,-75.0,5
522,-48.0,3
523,-93.5,5
524,-17.5,4
525,-47.5,5
526,-62.0,5
527,-62.0,5
528,-59.0,5
529,-1.5,4
530,-7.0,5
531,4.0,5
532,-47.5,5
533,-60.5,5
534,-68.5,5
535,-50.0,4
536,-54.0,4
537,-51.0,5
538,-25.5,3
539,-37.0,3
540,-27.0,3
541,-68.5,3
542,-95.5,3
543,-26.0,3
544,-58.5,4
545,-44.5,5
546,-108.5,5
547,-17.0,5
548,-77.5,5
549,-60.5,5
550,-45.0,5
551,-71.5,5
552,-76.5,5
553,-32.0,5
554,-57.5,4
555,-62.5,4
556,-69.0,4
557,-3.5,4
558,-28.0,3
559,-64.5,3
560,-62.0,3
561,-22.0,5
562,43.0,5
563,-21.5,4
564,-32.5,4
565,-47.0,5
566,-9.5,5
567,-21.0,5
568,-95.5,4
569,-39.0,5
570,-62.5,5
571,-68.5,4
572,-52.5,4
573,-131.5,4
574,-73.0,4
575,-60.5,5
576,-53.5,5
577,-65.5,5
578,-36.0,5
579,-37.5,5
580,-90.0,5
581,-63.0,5
582,-48.5,5
583,-73.5,5
584,-49.0,5
585,-51.5,5
586,-47.0,5
587,-65.5,5
588,-75.0,6
589,-51.0,5
590,-11.0,5
591,-9.5,5
592,-64.0,5
593,-16.0,5
594,-68.5,4
595,-35.0,4
596,-127.5,4
597,-106.5,5
598,-14.5,5
599,-37.5,5
600,-41.5,4
601,-8.5,5
602,13.5,5
603,-68.5,5
604,-51.5,5
605,-78.0,5
606,-40.5,5
607,-3.5,5
608,-43.5,5
609,-37.0,5
610,-94.0,4
611,-24.5,5
612,-46.5,5
613,-82.5,5
614,-0.5,5
615,-85.0,5
616,-60.5,4
617,-13.0,5
618,-10.5,4
619,-61.5,5
620,-53.5,5
621,-48.5,5
622,3.0,5
623,-39.0,5
624,-41.0,4
625,-27.0,5
626,-6.0,5
627,-41.0,5
628,-42.5,5
629,-40.5,6
630,-51.0,5
631,-35.5,5
632,-10.0,5
633,-62.0,5
634,-35.5,5
635,-105.0,5
636,-25.0,5
637,-52.0,5
638,-45.0,5
639,-88.5,5
640,30.0,4
641,-25.0,4
642,-54.5,5
643,-12.5,3
644,-9.5,5
645,-85.0,5
646,-57.0,5
647,-20.0,5
648,-18.5,5
649,-28.5,5
650,-10.5,5
651,-44.5,5
652,-69.5,5
653,-62.0,5
654,-58.5,5
655,-18.0,4
656,-22.0,4
657,-63.5,5
658,-24.5,5
659,-53.0,5
660,-6.5,5
661,-30.5,5
662,-76.5,5
663,-35.5,5
664,-19.0,5
665,-81.5,5
666,-86.5,5
667,-25.0,5
668,-58.0,6
669,-4.0,5
670,-66.0,5
671,-14.0,5
672,-32.5,5
673,-43.0,5
674,-36.5,4
675,-12.0,5
676,10.5,5
677,-58.0,4
678,-49.5,5
679,-44.5,5
680,-37.5,6
681,-3.0,7
682,-55.5,6
683,3.5,5
684,-21.0,5
685,-51.5,5
686,-43.5,5
687,-82.5,4
688,-12.0,5
689,-73.5,5
690,-39.0,4
691,-49.5,5
692,6.5,4
693,-43.0,4
694,-79.0,5
695,-27.5,5
696,-75.5,5
697,-44.0,5
698,-133.0,5
699,-42.5,5
700,-41.0,5
701,59.0,4
702,-74.5,5
