,magnitude,people
0,-72.0,8
1,-51.5,9
2,-61.0,8
3,5.0,9
4,-30.0,9
5,-78.5,9
6,-36.5,10
7,22.0,9
8,-23.5,9
9,-43.0,9
10,-105.0,9
11,-21.5,8
12,38.0,9
13,-60.5,7
14,-84.0,10
15,-68.0,10
16,-66.0,10
17,-54.0,9
18,-142.5,7
19,-47.0,7
20,-53.5,7
21,-30.0,8
22,-31.5,10
23,-25.5,9
24,-49.5,9
25,-49.5,8
26,24.5,8
27,9.0,9
28,-8.0,7
29,-4.5,10
30,-68.0,10
31,-88.0,10
32,-30.0,9
33,-28.5,10
34,-76.0,9
35,-31.0,9
36,-39.0,9
37,-94.5,8
38,-65.0,10
39,-43.0,9
40,-35.0,10
41,-6.5,6
42,-17.0,6
43,-14.5,6
44,-37.0,10
45,-39.5,10
46,-46.0,9
47,-29.5,10
48,5.5,8
49,-39.0,7
50,-49.5,8
51,-16.0,5
52,-54.0,5
53,-29.0,5
54,-26.0,6
55,-64.0,6
56,-81.5,6
57,-16.5,8
58,-30.5,6
59,-58.0,5
60,-71.5,8
61,-88.5,9
62,25.0,7
63,-51.0,9
64,-127.0,8
65,24.5,9
66,-67.5,8
67,-46.5,8
68,-56.0,8
69,-46.0,10
70,12.5,8
71,-72.0,10
72,-16.5,10
73,-64.5,8
74,-49.5,8
75,-53.5,7
76,-82.0,7
77,-75.0,4
78,-7.5,8
79,-27.5,3
80,-72.0,4
81,-21.5,6
82,-95.0,9
83,-69.0,8
84,-80.5,7
85,-22.5,6
86,-45.5,3
87,-57.5,5
88,16.0,6
89,-88.0,8
90,-76.5,7
91,-20.5,10
92,-69.0,5
93,-11.0,7
94,-51.5,6
95,-51.5,8
96,-74.5,7
97,-66.5,6
98,-43.5,8
99,-21.0,5
100,-51.0,7
101,-73.0,8
102,-55.5,5
103,-55.0,8
104,-54.5,8
105,-31.5,6
106,-16.5,7
107,-41.0,6
108,-26.0,7
109,-67.5,6
110,-78.5,6
111,-16.0,6
112,-81.0,6
113,2.0,6
114,-44.0,7
115,-43.0,6
116,-40.5,5
117,-39.0,3
118,24.5,6
119,-7.5,7
120,18.0,8
121,14.0,8
122,-19.5,7
123,-30.0,8
124,16.5,8
125,-39.5,8
126,7.0,6
127,-102.0,6
128,-58.0,6
129,-44.0,8
130,-42.0,6
131,-103.0,7
132,-53.5,8
133,-48.0,8
134,-97.5,7
135,-52.5,7
136,-5.0,8
137,-117.0,7
138,-19.5,9
139,-35.0,8
140,-26.5,8
141,0.5,8
142,-120.0,9
143,-6.5,7
144,-59.0,7
145,-27.0,7
146,-52.5,6
147,-25.5,4
148,-69.0,6
149,-33.0,6
150,-45.0,7
151,-85.5,4
152,-46.5,6
153,-28.0,6
154,11.0,8
155,-9.5,9
156,-31.5,7
157,-44.5,9
158,-50.5,10
159,-49.5,10
160,-74.5,8
161,21.0,7
162,-50.0,7
163,-74.5,9
164,-72.0,6
165,-67.0,10
166,-22.0,10
167,-69.5,9
168,-25.5,8
169,-75.0,5
170,-46.0,6
171,-31.0,10
172,-57.5,7
173,-33.0,8
174,-18.0,7
175,-7.0,8
176,-31.0,9
177,-23.5,10
178,-32.5,6
179,-65.0,7
180,-41.0,7
181,-44.5,8
182,-15.0,7
183,-4.0,7
184,-26.0,9
185,19.5,8
186,-22.0,7
187,-88.5,6
188,-49.5,8
189,-58.0,6
190,10.5,6
191,-39.0,9
192,-66.5,6
193,-35.0,7
194,-54.0,7
195,3.5,7
196,-54.0,7
197,-2.5,7
198,-40.0,7
199,-32.0,6
200,-33.0,6
201,-68.5,10
202,-70.5,9
203,-85.5,7
204,-82.0,6
205,-59.5,6
206,-43.5,6
207,-93.5,6
208,-108.0,7
209,-92.0,9
210,-8.0,8
211,11.0,9
212,-72.5,9
213,-68.0,10
214,-38.0,10
215,-21.5,10
216,4.0,9
217,-11.0,9
218,10.0,10
219,-40.5,10
220,-47.5,10
221,47.5,6
222,-30.5,6
223,-67.0,5
224,-64.5,5
225,-55.5,7
226,-31.5,6
227,-18.0,8
228,-6.0,7
229,11.0,7
230,5.5,6
231,-34.0,7
232,-61.0,6
233,-18.5,6
234,-85.0,7
235,-96.0,6
236,-37.5,6
237,8.0,6
238,-102.5,6
239,-22.0,7
240,-38.5,8
241,-58.0,8
242,-9.5,8
243,-31.5,6
244,-20.0,6
245,-107.5,7
246,16.0,6
